06/2003,11349
07/2003,15335
08/2003,14305
09/2003,3115
10/2003,2015
11/2003,2
12/2003,8
01/2004,17635
02/2004,17221
03/2004,16707
04/2004,14216
05/2004,17458
06/2004,14734
07/2004,10976
08/2004,16811
09/2004,12343
10/2004,10901
11/2004,19790
12/2004,16371
01/2005,10376
02/2005,17709
03/2005,21223
04/2005,12023
05/2005,17898
06/2005,16005
07/2005,12038
08/2005,20389
09/2005,14459
10/2005,10459
11/2005,20477
12/2005,18047
01/2006,15207
02/2006,18622
03/2006,20497
04/2006,16276
05/2006,25321
06/2006,19556
07/2006,14739
08/2006,25318
09/2006,15814
10/2006,13725
11/2006,24151
12/2006,18266
01/2007,16607
02/2007,24420
03/2007,24177
04/2007,16082
05/2007,30433
06/2007,19935
07/2007,18706
08/2007,41262
09/2007,24884
10/2007,25902
11/2007,36306
12/2007,27716
01/2008,19461
02/2008,24876
03/2008,31906
04/2008,27408
05/2008,33969
06/2008,24483
07/2008,13725
08/2008,16555
09/2008,12290
10/2008,9603
11/2008,15506
12/2008,12654
01/2009,6083
02/2009,10755
03/2009,11959
04/2009,5550
05/2009,10366
06/2009,8829
07/2009,8897
08/2009,11107
09/2009,8671
10/2009,6988
11/2009,11862
12/2009,8787
01/2010,5911
02/2010,7928
03/2010,10426
04/2010,8635
05/2010,11188
06/2010,8163
07/2010,3950
08/2010,8205
09/2010,6771
10/2010,5183
11/2010,9305
12/2010,9327
01/2011,5795
02/2011,9401
03/2011,12186
04/2011,6280
05/2011,12120
06/2011,7327
07/2011,4956
08/2011,11687
09/2011,6741
10/2011,5422
11/2011,8000
12/2011,9919
01/2012,5235
02/2012,8013
03/2012,9974
04/2012,5592
05/2012,10383
06/2012,6548
07/2012,4251
08/2012,11437
09/2012,6869
10/2012,4743
11/2012,18006
12/2012,9114
01/2013,5053
02/2013,7759
03/2013,8762
04/2013,5020
05/2013,3265
01/2014,5103
02/2014,8088
03/2014,8537
07/2014,4679
12/2014,459
01/2015,4985
02/2015,7646
03/2015,8973
04/2015,5194
05/2015,8267
06/2015,7186
07/2015,5527
08/2015,10488
09/2015,6400
10/2015,5415
11/2015,8586
12/2015,8328
01/2016,5140
02/2016,7475
03/2016,7152
04/2016,4890
05/2016,7097
06/2016,6077
07/2016,3779
08/2016,8194
09/2016,6350
10/2016,4212
11/2016,8603
12/2016,2212
01/2017,4073
02/2017,6618
03/2017,9032
04/2017,4720
05/2017,9381
06/2017,5788
07/2017,2836
08/2017,6442
09/2017,4418
10/2017,3542
11/2017,5823
12/2017,5358
01/2018,4354
02/2018,6663
03/2018,8486
04/2018,4204
05/2018,8446
06/2018,6843
07/2018,4351
08/2018,8205
09/2018,7403
10/2018,9810
11/2018,11138
12/2018,11497
01/2019,6155
02/2019,6409
03/2019,11758
04/2019,6325
05/2019,8214
06/2019,8904
07/2019,6149
08/2019,8348
09/2019,6265
10/2019,4887
11/2019,7400
12/2019,6104
01/2020,3877
02/2020,6572
03/2020,11484
04/2020,4204
05/2020,8323
06/2020,7106
07/2020,4661
08/2020,7984
09/2020,6690
10/2020,2560
11/2020,8293
12/2020,8625
01/2021,5230
02/2021,8798
03/2021,10606
04/2021,6070
05/2021,9982